T001	/Physical Object/Organism
T002	/Physical Object/Organism/Eukaryote/Plant
T004	/Physical Object/Organism/Eukaryote/Fungus
T005	/Physical Object/Organism/Virus
T007	/Physical Object/Organism/Bacterium
T008	/Physical Object/Organism/Eukaryote/Animal
T010	/Physical Object/Organism/Eukaryote/Animal/Vertebrate
T011	/Physical Object/Organism/Eukaryote/Animal/Vertebrate/Amphibian
T012	/Physical Object/Organism/Eukaryote/Animal/Vertebrate/Bird
T013	/Physical Object/Organism/Eukaryote/Animal/Vertebrate/Fish
T014	/Physical Object/Organism/Eukaryote/Animal/Vertebrate/Reptile
T015	/Physical Object/Organism/Eukaryote/Animal/Vertebrate/Mammal
T016	/Physical Object/Organism/Eukaryote/Animal/Vertebrate/Mammal/Human
T017	/Physical Object/Anatomical Structure
T018	/Physical Object/Anatomical Structure/Embryonic Structure
T019	/Physical Object/Anatomical Structure/Anatomical Abnormality/Congenital Abnormality
T020	/Physical Object/Anatomical Structure/Anatomical Abnormality/Acquired Abnormality
T021	/Physical Object/Anatomical Structure/Fully Formed Anatomical Structure
T022	/Conceptual Entity/Idea or Concept/Functional Concept/Body System
T023	/Physical Object/Anatomical Structure/Fully Formed Anatomical Structure/Body Part, Organ, or Organ Component
T024	/Physical Object/Anatomical Structure/Fully Formed Anatomical Structure/Tissue
T025	/Physical Object/Anatomical Structure/Fully Formed Anatomical Structure/Cell
T026	/Physical Object/Anatomical Structure/Fully Formed Anatomical Structure/Cell Component
T028	/Physical Object/Anatomical Structure/Fully Formed Anatomical Structure/Gene or Genome
T029	/Conceptual Entity/Idea or Concept/Spatial Concept/Body Location or Region
T030	/Conceptual Entity/Idea or Concept/Spatial Concept/Body Space or Junction
T031	/Physical Object/Substance/Body Substance
T032	/Conceptual Entity/Organism Attribute
T033	/Conceptual Entity/Finding
T034	/Conceptual Entity/Finding/Laboratory or Test Result
T037	/Phenomenon or Process/Injury or Poisoning
T038	/Phenomenon or Process/Natural Phenomenon or Process/Biologic Function
T039	/Phenomenon or Process/Natural Phenomenon or Process/Biologic Function/Physiologic Function
T040	/Phenomenon or Process/Natural Phenomenon or Process/Biologic Function/Physiologic Function/Organism Function
T041	/Phenomenon or Process/Natural Phenomenon or Process/Biologic Function/Physiologic Function/Organism Function/Mental Process
T042	/Phenomenon or Process/Natural Phenomenon or Process/Biologic Function/Physiologic Function/Organ or Tissue Function
T043	/Phenomenon or Process/Natural Phenomenon or Process/Biologic Function/Physiologic Function/Cell Function
T044	/Phenomenon or Process/Natural Phenomenon or Process/Biologic Function/Physiologic Function/Molecular Function
T045	/Phenomenon or Process/Natural Phenomenon or Process/Biologic Function/Physiologic Function/Molecular Function/Genetic Function
T046	/Phenomenon or Process/Natural Phenomenon or Process/Biologic Function/Pathologic Function
T047	/Phenomenon or Process/Natural Phenomenon or Process/Biologic Function/Pathologic Function/Disease or Syndrome
T048	/Phenomenon or Process/Natural Phenomenon or Process/Biologic Function/Pathologic Function/Disease or Syndrome/Mental or Behavioral Dysfunction
T049	/Phenomenon or Process/Natural Phenomenon or Process/Biologic Function/Pathologic Function/Cell or Molecular Dysfunction
T050	/Phenomenon or Process/Natural Phenomenon or Process/Biologic Function/Pathologic Function/Experimental Model of Disease
T051	/Event
T052	/Activity
T053	/Activity/Behavior
T054	/Activity/Behavior/Social Behavior
T055	/Activity/Behavior/Individual Behavior
T056	/Activity/Daily or Recreational Activity
T057	/Activity/Occupational Activity
T058	/Activity/Occupational Activity/Health Care Activity
T059	/Activity/Occupational Activity/Health Care Activity/Laboratory Procedure
T060	/Activity/Occupational Activity/Health Care Activity/Diagnostic Procedure
T061	/Activity/Occupational Activity/Health Care Activity/Therapeutic or Preventive Procedure
T062	/Activity/Occupational Activity/Research Activity
T063	/Activity/Occupational Activity/Research Activity/Molecular Biology Research Technique
T064	/Activity/Occupational Activity/Governmental or Regulatory Activity
T065	/Activity/Occupational Activity/Educational Activity
T066	/Activity/Machine Activity
T067	/Phenomenon or Process
T068	/Phenomenon or Process/Human-caused Phenomenon or Process
T069	/Phenomenon or Process/Human-caused Phenomenon or Process/Environmental Effect of Humans
T070	/Phenomenon or Process/Natural Phenomenon or Process
T071	/Entity
T072	/Physical Object
T073	/Physical Object/Manufactured Object
T074	/Physical Object/Manufactured Object/Medical Device
T075	/Physical Object/Manufactured Object/Research Device
T077	/Conceptual Entity
T078	/Conceptual Entity/Idea or Concept
T079	/Conceptual Entity/Idea or Concept/Temporal Concept
T080	/Conceptual Entity/Idea or Concept/Qualitative Concept
